diameter,albedo,id,name,pha_flag,magnitude_h,eccentricity,semi_major_axis,perihelion,inclination,n,per,per_y,moid_au,class_name,dataset_type,cluster_label
16.84,0.25,20000433,   433 Eros (A898 PA),0,10.38,0.2228,1.458,1.133,10.83,0.5598,643.0,1.76,0.148,AMO,measured,2
4.2,0.31,20000887,   887 Alinda (A918 AA),0,13.81,0.5712,2.474,1.061,9.4,0.2533,1420.0,3.89,0.0797,AMO,measured,0
37.675,0.238,20001036,  1036 Ganymed (A924 UB),0,9.18,0.5332,2.665,1.244,26.68,0.2266,1590.0,4.35,0.343,AMO,measured,1
1.0,,20001221,  1221 Amor (1932 EA1),0,17.37,0.4346,1.92,1.085,11.87,0.3705,972.0,2.66,0.108,AMO,measured,0
1.0,0.51,20001566,  1566 Icarus (1949 MA),1,16.53,0.827,1.078,0.186,22.8,0.8805,409.0,1.12,0.0335,APO,measured,1
5.8,0.08,20001580,  1580 Betulia (1950 KA),0,14.55,0.4876,2.195,1.125,52.19,0.3031,1190.0,3.25,0.132,AMO,measured,1
2.56,0.29,20001620,  1620 Geographos (1951 RA),1,15.26,0.3355,1.246,0.828,13.34,0.7088,508.0,1.39,0.0294,APO,measured,2
9.12,0.15,20001627,  1627 Ivar (1929 SH),0,12.79,0.3973,1.863,1.123,8.46,0.3876,929.0,2.54,0.109,AMO,measured,2
3.4,0.31,20001685,  1685 Toro (1948 OA),0,14.28,0.436,1.368,0.771,9.38,0.6161,584.0,1.6,0.0511,APO,measured,2
1.5,0.25,20001862,  1862 Apollo (1932 HA),1,16.08,0.5599,1.471,0.647,6.35,0.5525,652.0,1.78,0.026,APO,measured,0
2.1,0.24,20001863,  1863 Antinous (1948 EA),0,15.46,0.6063,2.26,0.89,18.38,0.2901,1240.0,3.4,0.187,APO,measured,0
3.7,0.273,20001864,  1864 Daedalus (1971 FA),0,14.84,0.6144,1.461,0.563,22.22,0.5582,645.0,1.77,0.269,APO,measured,1
1.2,0.22,20001865,  1865 Cerberus (1971 UA),0,16.78,0.4669,1.08,0.576,16.1,0.8782,410.0,1.12,0.157,APO,measured,2
8.48,0.15,20001866,  1866 Sisyphus (1972 XA),0,12.48,0.5381,1.893,0.875,41.21,0.3783,952.0,2.61,0.104,APO,measured,1
0.5,0.21,20001915,  1915 Quetzalcoatl (1953 EA),0,18.38,0.5702,2.545,1.094,20.4,0.2428,1480.0,4.06,0.109,AMO,measured,0
3.5,,20001916,  1916 Boreas (1953 RA),0,14.93,0.4492,2.273,1.252,12.88,0.2877,1250.0,3.43,0.252,AMO,measured,0
5.7,0.195,20001917,  1917 Cuyo (1968 AA),0,14.38,0.5055,2.149,1.063,23.96,0.3128,1150.0,3.15,0.0717,AMO,measured,1
2.3,0.17,20001943,  1943 Anteros (1973 EC),0,15.7,0.2559,1.431,1.064,8.71,0.576,625.0,1.71,0.0609,AMO,measured,2
4.3,0.25,20001980,  1980 Tezcatlipoca (1950 LA),0,13.81,0.3647,1.709,1.086,26.87,0.441,816.0,2.23,0.245,AMO,measured,1
3.4,,20001981,  1981 Midas (1973 EA),1,15.27,0.6505,1.776,0.621,39.82,0.4163,865.0,2.37,0.00277,APO,measured,1
2.6,,20002061,  2061 Anza (1960 UA),0,16.7,0.5356,2.265,1.052,3.8,0.2891,1250.0,3.41,0.0558,AMO,measured,0
1.1,0.26,20002062,  2062 Aten (1976 AA),0,17.11,0.1829,0.967,0.79,18.94,1.037,347.0,0.951,0.113,ATE,measured,2
1.024,0.203,20002063,  2063 Bacchus (1977 HB),0,17.21,0.3494,1.078,0.701,9.43,0.8806,409.0,1.12,0.0667,APO,measured,2
2.3,0.13,20002100,  2100 Ra-Shalom (1978 RA),0,16.24,0.4365,0.832,0.469,15.76,1.299,277.0,0.759,0.15,ATE,measured,2
0.6,,20002101,  2101 Adonis (1936 CA),1,18.69,0.7641,1.874,0.442,1.32,0.3842,937.0,2.57,0.0115,APO,measured,0
1.649,0.245,20002102,  2102 Tantalus (1975 YA),1,16.0,0.2994,1.29,0.904,64.01,0.6726,535.0,1.47,0.0426,APO,measured,1
1.8,0.4328,20002201,  2201 Oljato (1947 XC),1,15.32,0.7107,2.179,0.63,2.52,0.3065,1170.0,3.22,0.00278,APO,measured,0
5.7,0.163,20002212,  2212 Hephaistos (1978 SB),0,13.49,0.8347,2.168,0.358,11.2,0.3088,1170.0,3.19,0.112,APO,measured,0
0.3,,20002340,  2340 Hathor (1976 UA),1,20.43,0.4499,0.8439,0.464,5.86,1.271,283.0,0.775,0.00663,ATE,measured,2
2.3,0.27,20002368,  2368 Beltrovata (1977 RA),0,15.15,0.4134,2.105,1.235,5.22,0.3228,1120.0,3.05,0.231,AMO,measured,0
0.9,0.21,20002608,  2608 Seneca (1978 DA),0,17.48,0.5647,2.53,1.102,14.43,0.2449,1470.0,4.03,0.153,AMO,measured,0
1.6,,20003102,  3102 Krok (1981 QA),0,16.16,0.4492,2.151,1.185,8.44,0.3124,1150.0,3.16,0.183,AMO,measured,0
1.5,0.64,20003103,  3103 Eger (1982 BB),0,15.3,0.3542,1.404,0.907,20.93,0.5925,608.0,1.66,0.0786,APO,measured,2
4.9,0.231,20003122,  3122 Florence (1981 ET3),1,14.08,0.4232,1.769,1.02,22.14,0.4189,859.0,2.35,0.0436,AMO,measured,1
2.2,0.42,20003199,  3199 Nefertiti (1982 RA),0,14.99,0.2841,1.575,1.127,32.96,0.4988,722.0,1.98,0.215,AMO,measured,1
6.25,0.1066,20003200,  3200 Phaethon (1983 TB),1,14.39,0.8897,1.271,0.14,22.31,0.6875,524.0,1.43,0.0187,APO,measured,1
2.8,0.22,20003288,  3288 Seleucus (1982 DV),0,15.34,0.4545,2.034,1.11,5.93,0.3397,1060.0,2.9,0.105,AMO,measured,0
1.8,0.17,20003360,  3360 Syrinx (1981 VA),0,16.04,0.7474,2.466,0.623,21.07,0.2545,1410.0,3.87,0.11,APO,measured,0
0.3,0.357,20003361,  3361 Orpheus (1982 HR),1,19.54,0.3232,1.21,0.819,2.65,0.7404,486.0,1.33,0.0146,APO,measured,2
0.7,0.21,20003362,  3362 Khufu (1984 QA),1,18.52,0.4685,0.9895,0.526,9.92,1.001,360.0,0.984,0.013,ATE,measured,2
0.9,0.37,20003551,  3551 Verenia (1983 RD),0,16.72,0.4868,2.093,1.074,9.51,0.3255,1110.0,3.03,0.0749,AMO,measured,0
19.0,0.03,20003552,  3552 Don Quixote (1983 SA),0,13.04,0.7073,4.27,1.25,31.05,0.1117,3220.0,8.82,0.342,AMO,measured,0
3.341,0.074,20003554,  3554 Amun (1986 EB),0,15.91,0.2806,0.974,0.701,23.36,1.025,351.0,0.961,0.25,ATE,measured,2
1.5,0.16,20003671,  3671 Dionysus (1984 KD),1,16.49,0.5438,2.197,1.002,13.53,0.3026,1190.0,3.26,0.015,APO,measured,0
4.3,0.515,20003691,  3691 Bede (1982 FT),0,14.93,0.2845,1.774,1.27,20.35,0.4171,863.0,2.36,0.35,AMO,measured,2
2.306,0.21,20003752,  3752 Camillo (1985 PA),0,15.14,0.3015,1.414,0.987,55.56,0.5864,614.0,1.68,0.0778,APO,measured,1
2.071,0.365,20003753,  3753 Cruithne (1986 TO),0,15.42,0.5149,0.9978,0.484,19.8,0.9889,364.0,0.997,0.0703,ATE,measured,2
0.5,0.18,20003757,  3757 Anagolay (1982 XB),1,19.01,0.4459,1.835,1.017,3.87,0.3967,908.0,2.48,0.0366,APO,measured,0
1.0,0.23,20003908,  3908 Nyx (1980 PA),0,17.45,0.459,1.928,1.043,2.19,0.3682,978.0,2.68,0.0567,AMO,measured,0
0.7,,20003988,  3988 Huma (1986 LA),0,17.94,0.3167,1.545,1.055,10.77,0.5134,701.0,1.92,0.177,AMO,measured,2
4.0,0.05,20004015,  4015 Wilson-Harrington (1979 VA),1,16.19,0.6309,2.626,0.969,2.8,0.2316,1550.0,4.26,0.043,APO,measured,0
0.42,0.52,20004034,  4034 Vishnu (1986 PA),1,18.49,0.444,1.059,0.589,11.17,0.9039,398.0,1.09,0.0191,APO,measured,2
2.49,0.31,20004055,  4055 Magellan (1985 DO2),0,14.92,0.326,1.82,1.227,23.25,0.4013,897.0,2.46,0.239,AMO,measured,2
5.4,0.405,20004179,  4179 Toutatis (1989 AC),1,15.29,0.6247,2.543,0.954,0.45,0.243,1480.0,4.06,0.00651,APO,measured,0
3.651,0.097,20004183,  4183 Cuno (1959 LM),1,14.16,0.6362,1.981,0.721,6.67,0.3535,1020.0,2.79,0.0284,APO,measured,0
1.8,0.37,20004197,  4197 Morpheus (1982 TA),0,14.97,0.7725,2.295,0.522,12.6,0.2834,1270.0,3.48,0.0985,APO,measured,0
3.177,0.054,20004341,  4341 Poseidon (1987 KF),0,16.08,0.6801,1.834,0.587,11.84,0.3968,907.0,2.48,0.194,APO,measured,0
1.801,0.343,20004401,  4401 Aditi (1985 TB),0,16.12,0.5634,2.584,1.128,26.62,0.2373,1520.0,4.15,0.335,AMO,measured,1
1.849,0.297,20004486,  4486 Mithra (1987 SB),1,15.61,0.66,2.206,0.75,3.03,0.3007,1200.0,3.28,0.0459,APO,measured,0
1.3,,20004544,  4544 Xanthus (1989 FB),0,17.37,0.2501,1.042,0.781,14.14,0.9266,389.0,1.06,0.173,APO,measured,2
0.33,0.55,20004660,  4660 Nereus (1982 DB),1,18.75,0.3588,1.485,0.952,1.45,0.5446,661.0,1.81,0.00416,APO,measured,2
0.6,0.18,20004688,  4688 (1980 WF),0,19.6,0.5179,2.233,1.077,6.37,0.2954,1220.0,3.34,0.108,AMO,measured,0
1.4,0.092,20004769,  4769 Castalia (1989 PB),1,17.4,0.4832,1.063,0.549,8.89,0.8992,400.0,1.1,0.0203,APO,measured,2
10.8,0.176,20004954,  4954 Eric (1990 SQ),0,12.56,0.4494,2.001,1.102,17.43,0.3481,1030.0,2.83,0.194,AMO,measured,0
3.499,0.132,20004957,  4957 Brucemurray (1990 XJ),0,15.05,0.2188,1.565,1.223,35.01,0.5032,715.0,1.96,0.425,AMO,measured,1
4.843,0.227,20005143,  5143 Heracles (1991 VL),0,14.05,0.7712,1.835,0.42,8.98,0.3966,908.0,2.49,0.0575,APO,measured,0
3.6,,20005332,  5332 Davidaguilar (1990 DA),0,14.96,0.4556,2.163,1.178,25.52,0.3097,1160.0,3.18,0.305,AMO,measured,1
3.6,0.037,20005370,  5370 Taranis (1986 RA),0,15.23,0.637,3.318,1.205,19.17,0.1631,2210.0,6.04,0.212,AMO,measured,0
0.935,0.507,20005381,  5381 Sekhmet (1991 JY),0,16.72,0.2964,0.9474,0.667,48.97,1.069,337.0,0.922,0.111,ATE,measured,1
3.57,0.32,20005587,  5587 (1990 SB),0,13.89,0.5443,2.401,1.094,18.04,0.265,1360.0,3.72,0.31,AMO,measured,0
0.55,0.48,20005604,  5604 (1992 FE),1,17.38,0.4065,0.93,0.552,4.7,1.099,328.0,0.897,0.0336,ATE,measured,2
1.668,0.121,20005645,  5645 (1990 SP),0,17.23,0.3873,1.355,0.83,13.51,0.6252,576.0,1.58,0.054,APO,measured,2
4.3,0.223,20005646,  5646 (1990 TR),0,15.51,0.4358,2.144,1.21,7.91,0.3139,1150.0,3.14,0.211,AMO,measured,0
1.537,0.271,20005653,  5653 Camarillo (1992 WD5),0,16.22,0.3044,1.794,1.248,6.87,0.4101,878.0,2.4,0.282,AMO,measured,2
5.231,0.031,20005731,  5731 Zeus (1988 VP4),0,15.47,0.6524,2.265,0.787,11.2,0.2891,1250.0,3.41,0.0647,APO,measured,0
2.3,0.36,20005751,  5751 Zao (1992 AC),0,14.94,0.4253,2.101,1.208,16.07,0.3235,1110.0,3.05,0.24,AMO,measured,0
0.4,,20005797,  5797 Bivoj (1980 AA),0,18.89,0.4443,1.894,1.052,4.19,0.3782,952.0,2.61,0.0698,AMO,measured,0
1.457,0.331,20005828,  5828 (1991 AM),0,15.96,0.6949,1.698,0.518,30.18,0.4453,808.0,2.21,0.399,APO,measured,1
2.754,0.156,20005836,  5836 (1993 MF),0,14.99,0.5383,2.439,1.126,7.93,0.2588,1390.0,3.81,0.18,AMO,measured,0
1.345,0.488,20005863,  5863 Tara (1983 RB),0,15.84,0.5073,2.221,1.094,19.51,0.2979,1210.0,3.31,0.231,AMO,measured,0
2.884,0.257,20006050,  6050 Miwablock (1992 AE),0,14.94,0.4372,2.202,1.239,6.41,0.3017,1190.0,3.27,0.268,AMO,measured,0
3.72,0.14,20006053,  6053 (1993 BW3),0,15.1,0.5284,2.147,1.013,21.58,0.3133,1150.0,3.15,0.222,APO,measured,0
1.4,0.21,20006063,  6063 Jason (1984 KB),0,16.02,0.7625,2.22,0.527,4.96,0.298,1210.0,3.31,0.0763,APO,measured,0
2.3,0.15,20006178,  6178 (1986 DA),0,15.71,0.5848,2.814,1.168,4.31,0.2088,1720.0,4.72,0.178,AMO,measured,0
4.626,0.227,20006455,  6455 (1992 HE),0,14.08,0.5729,2.24,0.957,37.34,0.2939,1220.0,3.35,0.287,APO,measured,1
0.53,0.151,20006489,  6489 Golevka (1991 JX),1,19.22,0.6188,2.477,0.944,2.26,0.2529,1420.0,3.9,0.0225,APO,measured,0
1.408,0.158,20006611,  6611 (1993 VW),0,16.82,0.4845,1.696,0.874,8.7,0.4463,807.0,2.21,0.0598,APO,measured,0
0.498,0.34,20007025,  7025 (1993 QA),0,18.08,0.315,1.476,1.011,12.61,0.5498,655.0,1.79,0.0622,APO,measured,2
1.298,0.26,20007088,  7088 Ishtar (1992 AA),0,16.84,0.3903,1.981,1.208,8.3,0.3535,1020.0,2.79,0.224,AMO,measured,0
6.319,0.046,20007092,  7092 Cadmus (1992 LC),0,15.12,0.6937,2.545,0.78,17.79,0.2427,1480.0,4.06,0.101,APO,measured,0
1.8,0.448,20007335,  7335 (1989 JA),1,17.7,0.4845,1.773,0.914,15.16,0.4176,862.0,2.36,0.0215,APO,measured,0
0.982,0.235,20007341,  7341 (1991 VK),1,16.96,0.5061,1.842,0.91,5.41,0.3944,913.0,2.5,0.0481,APO,measured,0
1.921,0.069,20007350,  7350 (1993 VA),0,17.16,0.3912,1.356,0.826,7.26,0.6242,577.0,1.58,0.0811,APO,measured,2
1.052,0.277,20007482,  7482 (1994 PC1),1,16.58,0.3294,1.349,0.904,33.47,0.6292,572.0,1.57,0.000726,APO,measured,1
1.602,0.075,20007822,  7822 (1991 CS),1,17.34,0.1646,1.123,0.938,37.12,0.8285,434.0,1.19,0.0216,APO,measured,1
0.784,0.181,20007839,  7839 (1994 ND),0,17.83,0.5186,2.165,1.042,27.12,0.3094,1160.0,3.19,0.135,AMO,measured,1
2.298,0.257,20007888,  7888 (1993 UC),0,15.19,0.6632,2.439,0.821,26.08,0.2588,1390.0,3.81,0.0869,APO,measured,1
1.68,0.452,20007889,  7889 (1994 LX),0,15.24,0.3463,1.262,0.825,36.91,0.6956,518.0,1.42,0.155,APO,measured,1
2.3,,20008013,  8013 Gordonmoore (1990 KA),0,17.09,0.4321,2.2,1.249,7.6,0.3021,1190.0,3.26,0.244,AMO,measured,0
0.7,,20008014,  8014 (1990 MF),1,18.88,0.456,1.748,0.951,1.87,0.4266,844.0,2.31,0.0168,APO,measured,0
1.859,0.154,20008201,  8201 (1994 AH2),0,15.94,0.7061,2.54,0.746,9.54,0.2435,1480.0,4.05,0.101,APO,measured,0
1.568,0.217,20008566,  8566 (1996 EN),1,16.47,0.4304,1.506,0.858,37.98,0.5331,675.0,1.85,0.0226,APO,measured,1
2.928,0.156,20008567,  8567 (1996 HW1),0,15.36,0.4491,2.046,1.127,8.45,0.3369,1070.0,2.93,0.122,AMO,measured,0
1.127,0.088,20009162,  9162 Kwiila (1987 OA),0,18.01,0.5955,1.497,0.605,9.01,0.5383,669.0,1.83,0.0806,APO,measured,0
1.617,0.332,20009202,  9202 (1993 PB),0,16.1,0.6078,1.424,0.558,40.8,0.5801,621.0,1.7,0.374,APO,measured,1
